pixel_id,latitude,longitude
9817,-17.5000,-62.0000
9818,-17.5000,-61.7500
9819,-17.5000,-61.5000
9820,-17.5000,-61.2500
9821,-17.5000,-61.0000
9822,-17.5000,-60.7500
9823,-17.5000,-60.5000
9824,-17.5000,-60.2500
9925,-17.2500,-67.5000
9927,-17.2500,-67.0000
9928,-17.2500,-66.7500
9929,-17.2500,-66.5000
9930,-17.2500,-66.2500
9931,-17.2500,-66.0000
9932,-17.2500,-65.7500
9933,-17.2500,-65.5000
9934,-17.2500,-65.2500
9935,-17.2500,-65.0000
9936,-17.2500,-64.7500
9937,-17.2500,-64.5000
9938,-17.2500,-64.2500
9939,-17.2500,-64.0000
9940,-17.2500,-63.7500
9941,-17.2500,-63.5000
9942,-17.2500,-63.2500
9943,-17.2500,-63.0000
9944,-17.2500,-62.7500
9945,-17.2500,-62.5000
9946,-17.2500,-62.2500
9947,-17.2500,-62.0000
9948,-17.2500,-61.7500
9949,-17.2500,-61.5000
9950,-17.2500,-61.2500
9951,-17.2500,-61.0000
9952,-17.2500,-60.7500
9953,-17.2500,-60.5000
9954,-17.2500,-60.2500
9955,-17.2500,-60.0000
10056,-17.0000,-67.7500
10057,-17.0000,-67.5000
10058,-17.0000,-67.2500
10059,-17.0000,-67.0000
10060,-17.0000,-66.7500
10061,-17.0000,-66.5000
10062,-17.0000,-66.2500
10063,-17.0000,-66.0000
10064,-17.0000,-65.7500
10065,-17.0000,-65.5000
10066,-17.0000,-65.2500
10067,-17.0000,-65.0000
10068,-17.0000,-64.7500
10069,-17.0000,-64.5000
10070,-17.0000,-64.2500
10071,-17.0000,-64.0000
10072,-17.0000,-63.7500
10073,-17.0000,-63.5000
10074,-17.0000,-63.2500
10075,-17.0000,-63.0000
10076,-17.0000,-62.7500
10077,-17.0000,-62.5000
10078,-17.0000,-62.2500
10079,-17.0000,-62.0000
10080,-17.0000,-61.7500
10081,-17.0000,-61.5000
10082,-17.0000,-61.2500
10083,-17.0000,-61.0000
10084,-17.0000,-60.7500
10085,-17.0000,-60.5000
10086,-17.0000,-60.2500
10189,-16.7500,-68.0000
10190,-16.7500,-67.7500
10191,-16.7500,-67.5000
10192,-16.7500,-67.2500
10193,-16.7500,-67.0000
10194,-16.7500,-66.7500
10195,-16.7500,-66.5000
10196,-16.7500,-66.2500
10197,-16.7500,-66.0000
10198,-16.7500,-65.7500
10199,-16.7500,-65.5000
10200,-16.7500,-65.2500
10201,-16.7500,-65.0000
10202,-16.7500,-64.7500
10203,-16.7500,-64.5000
10204,-16.7500,-64.2500
10205,-16.7500,-64.0000
10206,-16.7500,-63.7500
10207,-16.7500,-63.5000
10208,-16.7500,-63.2500
10209,-16.7500,-63.0000
10210,-16.7500,-62.7500
10211,-16.7500,-62.5000
10212,-16.7500,-62.2500
10213,-16.7500,-62.0000
10214,-16.7500,-61.7500
10215,-16.7500,-61.5000
10216,-16.7500,-61.2500
10217,-16.7500,-61.0000
10218,-16.7500,-60.7500
10219,-16.7500,-60.5000
10325,-16.5000,-68.0000
10326,-16.5000,-67.7500
10327,-16.5000,-67.5000
10328,-16.5000,-67.2500
10329,-16.5000,-67.0000
10330,-16.5000,-66.7500
10331,-16.5000,-66.5000
10332,-16.5000,-66.2500
10333,-16.5000,-66.0000
10334,-16.5000,-65.7500
10335,-16.5000,-65.5000
10336,-16.5000,-65.2500
10337,-16.5000,-65.0000
10338,-16.5000,-64.7500
10339,-16.5000,-64.5000
10340,-16.5000,-64.2500
10341,-16.5000,-64.0000
10342,-16.5000,-63.7500
10343,-16.5000,-63.5000
10344,-16.5000,-63.2500
10345,-16.5000,-63.0000
